classification,A,B,relay_T,pooled_relay,pooled_reverse_relay,n_fwd,n_rev,evidence_summary,citations
KNOWN_DIRECTIONAL,IFN-omega,IFN-gamma,pDC,0.0213305,0.0153031,4,3,"Type I interferons (the family IFN-omega belongs to) are well-documented inducers of IFN-gamma in NK/NKT/T cells, and IFN-omega specifically enhances cytolytic CD8+ T cell IFN-gamma responses. The relay through pDC is plausible since pDCs are the pri",Type 1 Interferon Induction of Natural Killer Cell Gamma Interferon Production during LCMV Infection — https://journals.asm.org/doi/10.1128/mbio.00169-11; Human type-I interferon omega promotes cytolytic CD8+ T cell responses (bioRxiv 2025) — https://www.biorxiv.org/content/10.1101/2025.02.13.638030v1; IFN-alpha treatment stimulates IFN-gamma in type I NKT cells — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333814/
KNOWN_DIRECTIONAL,IL-2,IFN-gamma,CD8 Naive,0.0175936,0.00787201,4,2,"IL-2 is well-established to induce IFN-gamma production in CD8+ T cells via STAT5/T-bet signaling, with multiple papers showing autocrine and paracrine IL-2 amplifies IFN-gamma and granzyme B output in CD8+ effector and memory T cells.",IL-2 Produced by CD8+ Immune T cells Can Augment Their IFN-γ Production — https://pmc.ncbi.nlm.nih.gov/articles/PMC3578122/; CD4+ T Cell-Derived IL-2 Signals during Early Priming Advances Primary CD8+ T Cell Responses — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2770320/
KNOWN_DIRECTIONAL,IFN-omega,IL-15,CD8 Naive,0.0162553,0.0133104,3,2,"Type I interferons (including IFN-omega, signaling through the same IFNAR receptor as IFN-alpha/beta) upregulate IL-15 expression in vitro and in vivo, priming CD8 T and NK cells.",Interferon-alpha/beta upregulate IL-15 expression in vitro and in vivo - https://pmc.ncbi.nlm.nih.gov/articles/PMC11030826/; IFN-alpha primes T- and NK-cells for IL-15-mediated signaling and cytotoxicity - https://www.sciencedirect.com/science/article/abs/pii/S0161589011006705; Soluble IL-15 Complexes Generated by Type I IFN Pathways - https://pmc.ncbi.nlm.nih.gov/articles/PMC4354909/
KNOWN_DIRECTIONAL,IL-6,Decorin,CD8 Naive,0.0125742,0.00631638,2,3,"IL-6 directly induces decorin mRNA in human endothelial cells in a dose-dependent manner (max at 10 ng/ml), although translation requires extracellular collagen signals. This is a well-documented direct induction of B by A, though not specifically in",Interleukin (IL)-6 and IL-10 induce decorin mRNA in endothelial cells — https://pubmed.ncbi.nlm.nih.gov/15016829/
KNOWN_DIRECTIONAL,IL-36-alpha,VEGF,CD14 Mono,0.0113562,0.0111784,4,4,IL-36α (50 ng/ml) significantly increases endothelial tube formation in a VEGF-dependent manner; IL-36 family upregulates VEGFs and VEGFR2/3 in monocyte-rich inflammatory milieus (psoriasis).,IL-36γ Is a Strong Inducer of IL-23 in Psoriatic Cells and Activates Angiogenesis — https://pmc.ncbi.nlm.nih.gov/articles/PMC5834930/; IL-36γ Augments Ocular Angiogenesis by Promoting the VEGF–VEGFR Axis — https://pmc.ncbi.nlm.nih.gov/articles/PMC10616713/; IL-1 Family Cytokine Regulation of Vascular Permeability and Angiogenesis — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2019.01426/full
KNOWN_DIRECTIONAL,TNF-alpha,IL-9,Treg,0.00969442,0.00808095,3,3,TNF-alpha potently promotes Th9 cell differentiation and IL-9 production through TNFR2-dependent pathways. iTregs and Foxp3+ regulatory T cells are among the cell populations producing IL-9 downstream of TNF-alpha signaling.,TNF-α enhances Th9 cell differentiation and antitumor immunity via TNFR2-dependent pathways — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360681/; Transcription factor Foxo1 is essential for IL-9 induction in T helper cells — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5634439/
KNOWN_DIRECTIONAL,IL-35,VEGF,MAIT,0.00799778,0.00644402,3,3,"Tumor-derived IL-35 promotes VEGF secretion and angiogenesis via STAT3 activation in myeloid cells (CD11b+Gr1+, neutrophils). Context-dependent: pro-angiogenic in tumors, anti-VEGF in rheumatoid arthritis.",Tumor-derived IL-35 promotes tumor growth by enhancing myeloid cell accumulation and angiogenesis - https://pmc.ncbi.nlm.nih.gov/articles/PMC3578001/; IL-35 enhances angiogenic effects of small extracellular vesicles in breast cancer - https://pubmed.ncbi.nlm.nih.gov/35037402/; Mathematical modeling of IL-35 promoting tumor growth and angiogenesis - https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0110126
KNOWN_DIRECTIONAL,IFN-beta,IL-2,CD8 Naive,0.00795025,0.00577274,3,2,Type-I IFNs (IFN-α/β) act as 'signal 3' on CD8 T cells; IFN-α subtypes induce significantly higher frequencies of IL-2-expressing CD8+ T cells (>2-fold increase) and synergize with IL-2 signaling for effector differentiation.,Diverse Immunomodulatory Effects of Individual IFNα Subtypes on Virus-Specific CD8+ T Cell Responses — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2019.02255/full; Regulation of Effector and Memory CD8 T Cell Differentiation by IL-2 — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6306427/
KNOWN_DIRECTIONAL,IL-6,VEGF,CD4 Naive,0.00569181,0.00445562,2,5,"IL-6 is a well-established inducer of VEGF expression via trans-signaling and STAT3 activation, both directly and synergistically with IL-1B and TNF.","Interleukin 6 induces the expression of vascular endothelial growth factor — https://pubmed.ncbi.nlm.nih.gov/8557680/; IL-6 in Inflammation, Immunity, and Disease — https://cshperspectives.cshlp.org/content/6/10/a016295.full; IL-6 induces VEGF-C via Src-FAK-STAT3 — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4934912/"
KNOWN_DIRECTIONAL,VEGF,IL-13,CD4 Naive,0.00377137,0.00162589,6,2,"VEGF enhances Th2 sensitization and inflammation in the lung, with a documented positive feedback loop with IL-13. VEGF induces IL-13-dependent asthma-like phenotype in transgenic mice.",VEGF induces remodeling and enhances TH2-mediated sensitization - https://www.nature.com/articles/nm1105; VEGF controls lung Th2 inflammation via miR-1-Mpl-P-selectin axis - https://rupress.org/jem/article/210/10/1993/41405/VEGF-controls-lung-Th2-inflammation-via-the-miR-1; Studies of VEGF in asthma and COPD - https://pubmed.ncbi.nlm.nih.gov/22052929/
KNOWN_DIRECTIONAL,CD30L,IL-17A,CD8 Naive,0.00347199,0.00210203,1,4,CD30L/CD30 signaling is critical for maintenance and activation of IL-17A-producing γδ T cells in mucosa-associated tissues; CD30 stimulation directly induces IL-17 production in human cells (in vitro RA studies). Documented for γδ rather than CD8 sp,CD30L/CD30 is critical for maintenance of IL-17A-producing γδ T cells — https://www.nature.com/articles/mi201318; CD30 Is Required for Activation of IL-17A-producing γδ T cells in Innate Immunity — https://journals.asm.org/doi/10.1128/iai.00887-13
KNOWN_DIRECTIONAL,IL-36-alpha,IL-17A,CD8 Naive,0.00315177,0.00130226,2,3,"IL-36 (including IL-36alpha) activates Th17 cells and induces IL-17A expression, forming a positive feedback loop with IL-17A in psoriasis. Direct evidence in T cells via Th17 differentiation.",Biology of IL-36 Signaling and Its Role in Systemic Inflammatory Diseases - https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2019.02532/full; Inter-Regulation of Th17 Cytokines and IL-36 Cytokines - https://www.sciencedirect.com/science/article/pii/S0022202X15351137; IL-17/IL-36 axis in skin inflammation - https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0222969
KNOWN_DIRECTIONAL,IL-27,IL-6,CD4 Naive,0.00233914,0.00217437,5,1,"IL-27 has been shown to augment TNF-alpha-induced IL-6 production in epithelial cells; the IL-6/IL-27 axis is well-documented bidirectional within the gp130 cytokine family, with both directions reported.",Early IL-6 signalling promotes IL-27 dependent maturation of regulatory T cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC5633202/; Regulation of inflammatory immune responses by IL-27 — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3332455/
KNOWN_DIRECTIONAL,IFN-lambda1,IL-6,CD8 Naive,0.00229334,0.00219437,0,5,"IL-29/IFN-λ1 up-regulates IL-6 production in PBMCs, macrophages, and synovial fibroblasts; IFN-λ directly responds in CD8 T cells. Direct induction in CD8 T cells specifically is not as well documented but plausible.",IL-29 enhances Toll-like receptor-mediated IL-6 and IL-8 production — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3978693/; Modulation of the human cytokine response by IFN-λ1/IL-29 — https://www.nature.com/articles/6364348
KNOWN_DIRECTIONAL,GM-CSF,TL1A,NK CD56bright,0.00199751,0.00160916,5,2,"GM-CSF induces TL1A (Tnfsf15) expression in macrophages, demonstrated in intestinal inflammation models. ILC3 effects on macrophage TL1A were GM-CSF-dependent.",GM-CSF Calibrates Macrophage Defense and Wound Healing Programs - https://www.sciencedirect.com/science/article/pii/S221112472030838X; TL1A/TNFSF15 directly induces proinflammatory cytokines from CD3+CD161+ T cells - https://www.mucosalimmunology.org/article/S1933-0219(22)01244-2/fulltext
KNOWN_DIRECTIONAL,IL-9,IL-16,NKT,0.000551269,0.000140559,5,1,"IL-9 acts on bronchial epithelial cells (BEAS-2B) in vitro to induce the T-cell chemoattractants IL-16 and RANTES; IL-16 can be induced by IL-4/IL-9/TNF/serotonin. Documented in epithelial cells, not NKT specifically.",Interleukin (IL)-4/IL-9 and Exogenous IL-16 Induce IL-16 Production by BEAS-2B Cells — https://www.sciencedirect.com/science/article/abs/pii/S0008874900917453; Role of interleukin-16 in human diseases — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1524026/full
KNOWN_DIRECTIONAL,IL-16,IL-6,CD16 Mono,0.000367737,0.000300748,3,3,"IL-16 stimulation of CD14+ CD4+ monocytes/maturing macrophages induces IL-1b, IL-6, IL-15, and TNF-alpha production, with mRNA detected within 4 hours and protein by 24 hours. This is a direct, well-documented A→B effect.",Interleukin-16 stimulates the expression and production of pro-inflammatory cytokines by human monocytes — https://pmc.ncbi.nlm.nih.gov/articles/PMC2326980/
KNOWN_COREGULATED,IFN-beta,IFN-omega,CD8 Naive,0.074165,0.0535299,5,2,"IFN-beta and IFN-omega are both type I interferons that bind the same IFNAR receptor and are typically co-induced by viral signals via IRF3/IRF7, but IFN-beta is not documented as a direct upstream inducer of IFN-omega in CD8 T cells.",Shared and Unique Features of Human Interferon-Beta and Interferon-Alpha Subtypes — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2020.605673/full; Type I Interferon Signaling Pathways — https://www.rndsystems.com/pathways/type-i-interferon-signaling-pathways
KNOWN_COREGULATED,IFN-beta,IFN-gamma,CD16 Mono,0.02269,0.0149538,3,4,"Both are interferons in the same signaling family. IFN-beta has cell-type-specific and context-dependent effects: in monocytes it has been shown to modulate inflammatory responses, while in CD4+ T cells it can suppress IFN-gamma. Direct induction of ",Interferon-Beta Induces Distinct Gene Expression Response Patterns in Human Monocytes versus T cells (PLOS One) — https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062366; Salmonella Induced IL-23 and IL-1β Allow for IL-12 Production by Monocytes... through Induction of IFN-γ — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2791865/
KNOWN_COREGULATED,TL1A,IL-12,MAIT,0.0200098,0.0175179,2,3,"TL1A synergizes with IL-12 (and IL-18) to enhance IFN-gamma production in T/NK/MAIT cells, but TL1A does not directly induce IL-12 expression — they are co-acting partners on shared targets.",TL1A Synergizes with IL-12 and IL-18 to Enhance IFN-gamma Production in Human T Cells and NK Cells — https://journals.aai.org/jimmunol/article/172/11/7002/80995/; TCR and Inflammatory Signals Tune Human MAIT Cells — https://www.sciencedirect.com/science/article/pii/S2211124719310988
KNOWN_COREGULATED,VEGF,IL-17C,MAIT,0.0152164,0.0118105,3,2,Documented direction is reverse: IL-17C induces VEGF (via STAT3/miR-23a-3p) in colorectal cancer and IL-17 family drives angiogenesis. No published evidence of VEGF inducing IL-17C in immune cells.,"miR-23a-3p is a Key Regulator of IL-17C-Induced Tumor Angiogenesis — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7348989/; IL-17 Promotes Angiogenic Factors IL-6, IL-8, and VEGF Production — https://pmc.ncbi.nlm.nih.gov/articles/PMC5098156/"
KNOWN_COREGULATED,VEGF,Decorin,CD8 Naive,0.01498,0.0135639,4,2,Documented direction is reverse: decorin induces VEGF and modulates VEGFR2; VEGF participates in decorin down-regulation (autocrine feedback) rather than induction. Not described in CD8 T cells.,Ectopic decorin expression up-regulates VEGF expression in mouse cerebral endothelial cells — https://pubmed.ncbi.nlm.nih.gov/18021292/; Decorin (Wikipedia) — https://en.wikipedia.org/wiki/Decorin
KNOWN_COREGULATED,IL-9,IL-36-alpha,CD4 Naive,0.0134502,0.00587217,4,4,"Direction is reversed in literature: IL-36 signaling (via IL-36R/MyD88/NF-kB) drives Th9 differentiation and IL-9 production in CD4+ T cells, not the other way around.",IL-36gamma signaling controls iTreg-Th9 balance - https://www.nature.com/articles/mi201721; IL-36 cytokines imprint a colitogenic phenotype on CD4+ T helper cells - https://pmc.ncbi.nlm.nih.gov/articles/PMC9038530/
KNOWN_COREGULATED,IL-35,IL-27,CD8 Naive,0.0123497,0.0092348,3,2,"IL-35 and IL-27 are both heterodimeric IL-12-family cytokines sharing the Ebi3 subunit; both function as negative regulators with overlapping receptor usage (gp130/IL-12Rb2/WSX-1), but A→B direction (IL-35 inducing IL-27) is not explicitly documented",Interleukin-35 on B cell and T cell induction and regulation — https://pmc.ncbi.nlm.nih.gov/articles/PMC5547520/; IL-12 family cytokines: immunological playmakers (Nature Immunology) — https://www.nature.com/articles/ni.2366
KNOWN_COREGULATED,VEGF,IL-9,CD14 Mono,0.00816331,0.00712211,5,2,The documented direction is the reverse: IL-9 induces VEGF secretion from mast cells (PLOS One 2012). No evidence VEGF induces IL-9 in monocytes; reverse direction is published.,IL-9 Induces VEGF Secretion from Human Mast Cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC3297631/
KNOWN_COREGULATED,IL-27,VEGF,CD4 Naive,0.00815312,0.00497712,4,3,The direction is reversed in the literature: IL-27 INHIBITS VEGF expression via STAT1 signaling and has documented anti-angiogenic properties. Both molecules are in the same axis (inflammation-angiogenesis) but A→B induction is not supported; the inv,IL-27 inhibits epithelial-mesenchymal transition and angiogenic factor production in a STAT1-dominant pathway in human non-small cell lung cancer — https://jeccr.biomedcentral.com/articles/10.1186/1756-9966-32-97
KNOWN_COREGULATED,IL-27,GM-CSF,MAIT,0.00753365,0.00734271,3,5,"Direction is reversed: IL-27 is a robust SUPPRESSOR of GM-CSF in T cells (STAT1-dependent), well documented in EAE and CNS inflammation. Co-regulated but A→B is anti-cascade.","Suppression of GM-CSF expression in murine and human T cells by IL-27 - https://pmc.ncbi.nlm.nih.gov/articles/PMC3424384/; IL-27, but not IL-35, inhibits neuroinflammation through modulating GM-CSF expression - https://www.nature.com/articles/s41598-017-16702-w"
KNOWN_COREGULATED,IL-17A,IL-36Ra,NKT,0.0072408,0.00569209,4,1,"IL-17A drives IL-36 agonist production (IL-36α/β/γ) in keratinocytes, and the IL-17A/IL-36 axis is well-established in psoriasis. IL-36Ra (the antagonist) is part of the same regulatory circuit and IL-38 (a related antagonist) is upregulated by anti-",IL-17A-driven psoriasis is critically dependent on IL-36 signaling — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10754973/; The psoriasis-associated IL-17A induces and cooperates with IL-36 cytokines — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5688102/
KNOWN_COREGULATED,IL-13,IL-27,MAIT,0.00700271,0.00260913,3,5,"IL-27 is documented to suppress Th2 responses (including IL-13 production), so the documented direction is reverse (IL-27 → suppresses IL-13). IL-27 is known to induce IL-10 in MAIT cells, but IL-13 inducing IL-27 in MAIT was not found.",Interleukin-27 in T Cell Immunity — https://pmc.ncbi.nlm.nih.gov/articles/PMC4346869/; Human MAIT cell response profiles biased toward IL-17 or IL-10 — https://www.pnas.org/doi/10.1073/pnas.2414230122
KNOWN_COREGULATED,IL-27,IL-9,CD4 Naive,0.00642421,0.00632157,5,2,"Direction is reversed: IL-27 is a well-documented SUPPRESSOR of Th9 differentiation and IL-9 production in naive CD4+ T cells, partially via STAT1/T-bet.",IL-27 inhibits Th9 differentiation while inducing Tr1 cells - https://www.researchgate.net/figure/L-27-inhibits-Th9-differentiation-while-inducing-Tr1-cells-Real-time-PCR-and-flow_fig7_232813959; Updated advancement of bifunctional IL-27 in inflammatory autoimmune diseases - https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2024.1366377/full
KNOWN_COREGULATED,IL-22,IL-27,MAIT,0.00613767,0.00589982,4,2,Documented direction is reverse: IL-27 inhibits IL-22 production by upregulating SOCS1 in CD4+ T cells. No evidence IL-22 induces IL-27 in MAIT cells.,Interleukin-22 Influences the Th1/Th17 Axis — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.618110/full; Identification of IL-27 as a novel regulator of MHC class I/II — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10561092/
KNOWN_COREGULATED,IL-21,IL-27,CD8 Naive,0.00608271,0.00400227,4,2,"The well-documented direction is the reverse: IL-27 induces IL-21 in CD8+ T cells (and in Tfh/Tr1 differentiation). However, IL-21 enhancement of IL-27 in B cells has also been reported, making the relationship bidirectional but with the canonical ca",IL-27 induction of IL-21 from human CD8+ T cells induces granzyme B in an autocrine manner — https://pmc.ncbi.nlm.nih.gov/articles/PMC7293547/; BATF3-dependent induction of IL-27 in B cells — https://www.biorxiv.org/content/10.1101/2020.06.26.117010.full.pdf
KNOWN_COREGULATED,IL-12,IL-27,CD8 Naive,0.00510641,0.00338374,2,4,"IL-12 and IL-27 are sister IL-12 family cytokines co-regulated by TLR signaling in DCs; both act on CD8 T cells (CD39 induction, effector differentiation) but IL-12 does not directly induce IL-27 expression.",IL-12 and IL-27 Promote CD39 Expression on CD8+ T Cells — https://journals.aai.org/jimmunol/article/210/10/1598/263576/; Regulation of Antitumor Immune Responses by the IL-12 Family — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2946577/
KNOWN_COREGULATED,IL-6,IL-36-alpha,CD4 Naive,0.00443269,0.00234102,3,4,"The documented direction is reverse: IL-36-alpha induces IL-6 (in fibroblasts and synovial cells, via MyD88/NF-kB). IL-6 inducing IL-36-alpha is not the documented cascade.",IL-36a and IL-36g Induce Proinflammatory Mediators from Human Colonic Subepithelial Myofibroblasts — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585048/; IL-36a Exerts Pro-Inflammatory Effects in the Lungs of Mice — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3447790/
KNOWN_COREGULATED,IL-9,OX40L,CD4 Naive,0.00389879,0.00374792,3,3,The documented direction is reverse: OX40L is a potent inducer of IL-9 (TH9 induction via TRAF6/NF-kB). IL-9 inducing OX40L is not the documented cascade direction.,OX40 signaling favors the induction of TH9 cells and airway inflammation (Nature Immunology) — https://www.nature.com/articles/ni.2390; IL-33-primed human mast cells drive IL-9 production by CD4+ T cells in an OX40L-dependent manner — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11479898/
KNOWN_COREGULATED,IL-27,IL-4,NKT,0.00229822,0.00043634,5,2,Documented effect is OPPOSITE direction: IL-27 suppresses GATA3 and IL-4/Th2 responses rather than inducing IL-4 in NKT cells. The cytokines are antagonistically linked.,IL-27: Its Roles in the Induction and Inhibition of Inflammation — https://pmc.ncbi.nlm.nih.gov/articles/PMC2480558/; IL-27 Limits Type 2 Immunopathology Following Parainfluenza Virus Infection — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5305264/
KNOWN_COREGULATED,VEGF,EGF,NK CD56bright,0.00194076,0.00189883,5,3,Documented direction is reverse: EGF induces VEGF (and NRP-1) in cancer cells. No published evidence VEGF induces EGF in NK cells.,Induction of neuropilin-1 and VEGF by EGF in human gastric cancer cells — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2376351/
KNOWN_COREGULATED,IL-36Ra,VEGF,MAIT,0.0014615,0.000825109,2,3,"IL-36Ra is the natural antagonist of IL-36 agonists, which themselves induce VEGF and angiogenesis. IL-36Ra INHIBITS VEGF expression by blocking IL-36 signaling — opposite direction of A→B induction. The molecules are coupled via the IL-36/VEGF axis.",IL-36γ Augments Ocular Angiogenesis by Promoting the VEGF–VEGFR Axis — https://pmc.ncbi.nlm.nih.gov/articles/PMC10616713/; IL-36γ Is a Strong Inducer of IL-23 in Psoriatic Cells and Activates Angiogenesis — https://pmc.ncbi.nlm.nih.gov/articles/PMC5834930/
KNOWN_COREGULATED,TL1A,IL-13,CD14 Mono,0.00112968,0.000612314,2,3,"TL1A/TNFSF15 drives IL-13 production primarily from ILC2s and Th2/Th9 cells (well-documented in muco-secretory fibrotic disorders and gut inflammation). The relay cell type in this case is CD14 Mono, where monocytes/macrophages are the primary SOURCE",Targeting TL1A/DR3 Signaling Offers a Therapeutic Advantage to Neutralizing IL13/IL4Rα — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8299868/; The tale of TL1A in inflammation — https://www.nature.com/articles/mi201120
KNOWN_COREGULATED,GM-CSF,IL-17A,NKT,0.000866995,0.000508442,4,2,"GM-CSF promotes Th17 cell survival and IL-17 production in autoimmunity (via IL-6/IL-23-dependent pathway in DCs), but the canonical direction is Th17→GM-CSF; the relationship is bidirectional in autoimmune feedback loops.",GM-CSF mediates autoimmunity by enhancing IL-6–dependent Th17 cell development — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2556786/; The encephalitogenicity of TH17 cells is dependent on IL-1- and IL-23-induced production of GM-CSF — https://pmc.ncbi.nlm.nih.gov/articles/PMC3116521/
