axis_a,axis_b,literature_status,literature_direction,expected_sign,pair_status,benchmark_class,counts_in_benchmark,upstream,original_direction,tag_changed,reason
IFNb,IFNg,TYPE1_IFN_PRIME,a_to_b,1,DIRECTIONAL_a_to_b,TYPE1_IFN_PRIME,True,IFNb,a_to_b,False,"Type-I IFN primes NK for IFNg (Nguyen 2002, Mack 2011).  IFNb upstream -> +1.  Distinct pathways IFNAR(STAT1/2) vs IFNGR(STAT1-GAS)."
IFNg,IL12,BIDIRECTIONAL,bidir,,BIDIRECTIONAL,BIDIRECTIONAL,False,,bidir,False,"Bidirectional feedback: IL-12 -> STAT4 -> IFNg in NK/T, and IFNg -> STAT1 -> Il12b in DCs/macs.  Direction cell-type-dependent in vivo; excluded from signed accuracy."
IFNg,IL15,NK_IFNG,b_to_a,-1,DIRECTIONAL_b_to_a,NK_IFNG,True,IL15,b_to_a,False,IL-15 drives NK-cell IFNg in vivo (sec 2.7 NK cascade).  IL15 upstream -> -1.
IFNg,IL18,NK_IFNG,b_to_a,-1,DIRECTIONAL_b_to_a,NK_IFNG,True,IL18,b_to_a,False,IL-18 synergizes with IL-12 to drive NK-cell IFNg (sec 2.7).  IL18 upstream -> -1.
IFNg,IL2,NK_IFNG,b_to_a,-1,DIRECTIONAL_b_to_a,NK_IFNG,True,IL2,b_to_a,False,IL-2 supports NK-cell IFNg production (sec 2.7 cascade).  IL2 upstream -> -1.
IFNg,IL4,ANTAGONISM,no_lit,0,NEGATIVE_NO_CASCADE,ANTAGONISM,False,,no_lit,False,"Th2 IL-4 suppresses Th1 IFNg (antagonism, not cascade).  |cross_asym| may still be large; DESCRIPTIVE per sec 26.4."
IL10,IL12,ANTAGONISM,no_lit,0,NEGATIVE_NO_CASCADE,ANTAGONISM,False,,no_lit,False,IL-10 -> STAT3 SUPPRESSES Il12b (Moore 2001).  Negative cascade -> DESCRIPTIVE per sec 26.4.
IL13,IL4,OVERLAP_STAT6,no_lit,,UNKNOWN,OVERLAP_STAT6,False,,no_lit,False,IL-4 and IL-13 both signal STAT6 via type-II IL-4R; programs overlap heavily; cross_asym sign unreliable.  DESCRIPTIVE.
IL15,IL2,OVERLAP_STAT5,no_lit,,UNKNOWN,OVERLAP_STAT5,False,,no_lit,False,IL-2 and IL-15 both signal common gamma-chain -> STAT5; programs overlap heavily; cross_asym sign unreliable.  DESCRIPTIVE.
IL1b,IL6,NFKB_STAT3,a_to_b,1,DIRECTIONAL_a_to_b,NFKB_STAT3,True,IL1b,a_to_b,False,IL-1R -> MyD88 -> NF-kB induces IL6; IL6 -> STAT3 (distinct).  IL1b upstream -> +1.  NF-kB vs STAT3 distinct -> precondition holds.
IL1b,TNFa,OVERLAP_NFKB,no_lit,,UNKNOWN,OVERLAP_NFKB,False,,no_lit,False,Both IL1b and TNF signal NF-kB; programs overlap (sec 24 known failure).  cross_asym sign unreliable on shared activation axis.  DESCRIPTIVE.
IL6,TNFa,NFKB_STAT3,b_to_a,-1,DIRECTIONAL_b_to_a,NFKB_STAT3,True,TNFa,b_to_a,False,TNF -> TNFR1 -> NF-kB induces IL6; IL6 -> STAT3.  TNFa upstream -> -1.  NF-kB vs STAT3 distinct (unlike IL1b/TNFa which share NF-kB).
