axis_a,axis_b,original_classification,original_direction,original_summary,relay_T_candidates,a_to_b_n_lit_entries,a_to_b_T_list,a_to_b_summary,a_to_b_n_primary,a_to_b_n_secondary,a_to_b_citations_primary,a_to_b_citations_secondary,b_to_a_n_lit_entries,b_to_a_T_list,b_to_a_summary,b_to_a_n_primary,b_to_a_n_secondary,b_to_a_citations_primary,b_to_a_citations_secondary
CD30L,IL-17A,KNOWN_DIRECTIONAL,a_to_b,CD30L/CD30 signaling is critical for maintenance and activation of IL-17A-producing γδ T cells in mucosa-associated tissues; CD30 stimulation directly induces IL-17 production in human cells (in vitro RA studies). Documented for γδ rather than CD8 specifically.,CD14 Mono:1,1,CD8 Naive,// T=CD8 Naive: CD30L/CD30 signaling is critical for maintenance and activation of IL-17A-producing γδ T cells in mucosa-associated tissues; CD30 stimulation directly induces IL-17 production in human cells (in vitro RA studies). Documented for γδ rather than CD8 specifically.,2,0,CD30L/CD30 is critical for maintenance of IL-17A-producing γδ T cells — https://www.nature.com/articles/mi201318 ||| CD30 Is Required for Activation of IL-17A-producing γδ T cells in Innate Immunity — https://journals.asm.org/doi/10.1128/iai.00887-13,,0,,,0,0,,
CD30L,IL-27,NOVEL,no_lit,"CD30L is expressed on activated monocytes (LPS-inducible) and IL-27 has effects on monocyte inflammatory programs, but no direct evidence found that IL-27 induces CD30L/TNFSF8 expression on monocytes.","HSPC:1, ILC:1, CD14 Mono:1",0,,,0,0,,,1,CD14 Mono,"// T=CD14 Mono: CD30L is expressed on activated monocytes (LPS-inducible) and IL-27 has effects on monocyte inflammatory programs, but no direct evidence found that IL-27 induces CD30L/TNFSF8 expression on monocytes.",0,0,,
CD30L,IL-9,NOVEL,no_lit,CD30L/CD153 is expressed on activated T/B/NK cells and is CD40-inducible; no published evidence IL-9 induces CD30L expression on HSPCs.,"MAIT:2, CD14 Mono:2, HSPC:1",0,,,0,0,,,1,HSPC,// T=HSPC: CD30L/CD153 is expressed on activated T/B/NK cells and is CD40-inducible; no published evidence IL-9 induces CD30L expression on HSPCs.,1,0,CD30 Is a CD40-Inducible Molecule — https://pmc.ncbi.nlm.nih.gov/articles/PMC4621001/,
CD30L,VEGF,NOVEL,no_lit,"While CD30L is expressed on monocytes and can mediate various pleiotropic effects, no clear literature was found establishing CD30L→VEGF induction in CD14+ monocytes or any other immune cell type.","MAIT:2, CD14 Mono:2, CD8 Naive:1",1,CD14 Mono,"// T=CD14 Mono: While CD30L is expressed on monocytes and can mediate various pleiotropic effects, no clear literature was found establishing CD30L→VEGF induction in CD14+ monocytes or any other immune cell type.",0,0,,,0,,,0,0,,
Decorin,IL-16,NOVEL,no_lit,"Decorin has documented immunomodulatory effects on monocytes via MCP-1 induction and macrophage polarization, but no published evidence found linking decorin to IL-16 induction.","NKT:2, CD8 Naive:2, CD16 Mono:1",1,CD16 Mono,"// T=CD16 Mono: Decorin has documented immunomodulatory effects on monocytes via MCP-1 induction and macrophage polarization, but no published evidence found linking decorin to IL-16 induction.",0,0,,,0,,,0,0,,
Decorin,IL-27,NOVEL,no_lit,"Decorin modulates macrophage polarization (M1/M2) and influences cytokine output in mesenchymal stem cells, but no direct evidence was found linking decorin to IL-27 induction, especially in MAIT cells.","CD16 Mono:1, CD14 Mono:1, CD4 Naive:1",1,MAIT,"// T=MAIT: Decorin modulates macrophage polarization (M1/M2) and influences cytokine output in mesenchymal stem cells, but no direct evidence was found linking decorin to IL-27 induction, especially in MAIT cells.",0,0,,,0,,,0,0,,
Decorin,IL-6,KNOWN_DIRECTIONAL,a_to_b,"IL-6 directly induces decorin mRNA in human endothelial cells in a dose-dependent manner (max at 10 ng/ml), although translation requires extracellular collagen signals. This is a well-documented direct induction of B by A, though not specifically in CD8 T cells.","CD8 Naive:1, CD14 Mono:1",0,,,0,0,,,1,CD8 Naive,"// T=CD8 Naive: IL-6 directly induces decorin mRNA in human endothelial cells in a dose-dependent manner (max at 10 ng/ml), although translation requires extracellular collagen signals. This is a well-documented direct induction of B by A, though not specifically in CD8 T cells.",1,0,Interleukin (IL)-6 and IL-10 induce decorin mRNA in endothelial cells — https://pubmed.ncbi.nlm.nih.gov/15016829/,
Decorin,IL-9,NOVEL,no_lit,No literature found linking IL-9 to decorin expression in immune cells. Decorin is an ECM proteoglycan with TGF-beta scavenger function; no IL-9-related regulatory axis documented.,"CD8 Naive:1, Treg:1, CD14 Mono:1",0,,,0,0,,,1,CD8 Naive,// T=CD8 Naive: No literature found linking IL-9 to decorin expression in immune cells. Decorin is an ECM proteoglycan with TGF-beta scavenger function; no IL-9-related regulatory axis documented.,0,0,,
Decorin,VEGF,KNOWN_COREGULATED,b_to_a,Documented direction is reverse: decorin induces VEGF and modulates VEGFR2; VEGF participates in decorin down-regulation (autocrine feedback) rather than induction. Not described in CD8 T cells.,"CD8 Naive:2, Treg:1, CD14 Mono:1",0,,,0,0,,,1,CD8 Naive,// T=CD8 Naive: Documented direction is reverse: decorin induces VEGF and modulates VEGFR2; VEGF participates in decorin down-regulation (autocrine feedback) rather than induction. Not described in CD8 T cells.,1,1,Ectopic decorin expression up-regulates VEGF expression in mouse cerebral endothelial cells — https://pubmed.ncbi.nlm.nih.gov/18021292/,Decorin (Wikipedia) — https://en.wikipedia.org/wiki/Decorin
GM-CSF,IL-17A,KNOWN_COREGULATED,bidir,"GM-CSF promotes Th17 cell survival and IL-17 production in autoimmunity (via IL-6/IL-23-dependent pathway in DCs), but the canonical direction is Th17→GM-CSF; the relationship is bidirectional in autoimmune feedback loops.","CD8 Naive:3, CD14 Mono:1",1,NKT,"// T=NKT: GM-CSF promotes Th17 cell survival and IL-17 production in autoimmunity (via IL-6/IL-23-dependent pathway in DCs), but the canonical direction is Th17→GM-CSF; the relationship is bidirectional in autoimmune feedback loops.",1,1,The encephalitogenicity of TH17 cells is dependent on IL-1- and IL-23-induced production of GM-CSF — https://pmc.ncbi.nlm.nih.gov/articles/PMC3116521/,GM-CSF mediates autoimmunity by enhancing IL-6–dependent Th17 cell development — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2556786/,0,,,0,0,,
